# Frequency (Hz)	EO Bandwidth (dB)
6.97e+10	-7.854398
6.98e+10	-7.865758
6.99e+10	-7.877109
7.00e+10	-7.888450
7.01e+10	-7.899782
7.02e+10	-7.911104
7.03e+10	-7.922417
7.04e+10	-7.933720
7.05e+10	-7.945013
7.06e+10	-7.956298
7.07e+10	-7.967572
7.08e+10	-7.978838
7.09e+10	-7.990093
7.10e+10	-8.001340
7.11e+10	-8.012577
7.12e+10	-8.023804
7.13e+10	-8.035022
7.14e+10	-8.046231
7.15e+10	-8.057430
7.16e+10	-8.068620
7.17e+10	-8.079800
7.18e+10	-8.090972
7.19e+10	-8.102133
7.20e+10	-8.113285
7.21e+10	-8.124428
7.22e+10	-8.135562
7.23e+10	-8.146686
7.24e+10	-8.157801
7.25e+10	-8.168906
7.26e+10	-8.180003
7.27e+10	-8.191089
7.28e+10	-8.202167
7.29e+10	-8.213235
7.30e+10	-8.224294
7.31e+10	-8.235344
7.32e+10	-8.246384
7.33e+10	-8.257415
7.34e+10	-8.268437
7.35e+10	-8.279449
7.36e+10	-8.290452
7.37e+10	-8.301446
7.38e+10	-8.312431
7.39e+10	-8.323407
7.40e+10	-8.334373
7.41e+10	-8.345330
7.42e+10	-8.356278
7.43e+10	-8.367217
7.44e+10	-8.378146
7.45e+10	-8.389066
7.46e+10	-8.399977
7.47e+10	-8.410879
7.48e+10	-8.421772
7.49e+10	-8.432656
7.50e+10	-8.443530
7.51e+10	-8.454395
7.52e+10	-8.465252
7.53e+10	-8.476099
7.54e+10	-8.486937
7.55e+10	-8.497765
7.56e+10	-8.508585
7.57e+10	-8.519396
7.58e+10	-8.530197
7.59e+10	-8.540990
7.60e+10	-8.551773
7.61e+10	-8.562548
7.62e+10	-8.573313
7.63e+10	-8.584070
7.64e+10	-8.594817
7.65e+10	-8.605555
7.66e+10	-8.616284
7.67e+10	-8.627005
7.68e+10	-8.637716
7.69e+10	-8.648418
7.70e+10	-8.659111
7.71e+10	-8.669796
7.72e+10	-8.680471
7.73e+10	-8.691138
7.74e+10	-8.701795
7.75e+10	-8.712444
7.76e+10	-8.723083
7.77e+10	-8.733714
7.78e+10	-8.744336
7.79e+10	-8.754949
7.80e+10	-8.765553
7.81e+10	-8.776148
7.82e+10	-8.786734
7.83e+10	-8.797311
7.84e+10	-8.807880
7.85e+10	-8.818440
7.86e+10	-8.828990
7.87e+10	-8.839532
7.88e+10	-8.850066
7.89e+10	-8.860590
7.90e+10	-8.871106
7.91e+10	-8.881612
7.92e+10	-8.892110
7.93e+10	-8.902600
7.94e+10	-8.913080
7.95e+10	-8.923552
7.96e+10	-8.934015
7.97e+10	-8.944469
7.98e+10	-8.954915
7.99e+10	-8.965351
8.00e+10	-8.975779
8.01e+10	-8.986199
8.02e+10	-8.996610
8.03e+10	-9.007012
8.04e+10	-9.017405
8.05e+10	-9.027790
8.06e+10	-9.038166
8.07e+10	-9.048533
8.08e+10	-9.058892
8.09e+10	-9.069242
8.10e+10	-9.079583
8.11e+10	-9.089916
8.12e+10	-9.100240
8.13e+10	-9.110556
8.14e+10	-9.120863
8.15e+10	-9.131162
8.16e+10	-9.141452
8.17e+10	-9.151733
8.18e+10	-9.162006
8.19e+10	-9.172270
8.20e+10	-9.182526
8.21e+10	-9.192773
8.22e+10	-9.203012
8.23e+10	-9.213242
8.24e+10	-9.223464
8.25e+10	-9.233678
8.26e+10	-9.243882
8.27e+10	-9.254079
8.28e+10	-9.264267
8.29e+10	-9.274446
8.30e+10	-9.284617
8.31e+10	-9.294780
8.32e+10	-9.304934
8.33e+10	-9.315080
8.34e+10	-9.325217
8.35e+10	-9.335346
8.36e+10	-9.345467
8.37e+10	-9.355579
8.38e+10	-9.365683
8.39e+10	-9.375779
8.40e+10	-9.385866
8.41e+10	-9.395945
8.42e+10	-9.406015
8.43e+10	-9.416078
8.44e+10	-9.426132
8.45e+10	-9.436177
8.46e+10	-9.446215
8.47e+10	-9.456244
8.48e+10	-9.466265
8.49e+10	-9.476277
8.50e+10	-9.486282
8.51e+10	-9.496278
8.52e+10	-9.506266
8.53e+10	-9.516245
8.54e+10	-9.526217
8.55e+10	-9.536180
8.56e+10	-9.546135
8.57e+10	-9.556082
8.58e+10	-9.566021
8.59e+10	-9.575951
8.60e+10	-9.585874
8.61e+10	-9.595788
8.62e+10	-9.605694
8.63e+10	-9.615592
8.64e+10	-9.625482
8.65e+10	-9.635364
8.66e+10	-9.645238
8.67e+10	-9.655103
8.68e+10	-9.664961
8.69e+10	-9.674810
8.70e+10	-9.684652
8.71e+10	-9.694485
8.72e+10	-9.704311
8.73e+10	-9.714128
8.74e+10	-9.723937
8.75e+10	-9.733739
8.76e+10	-9.743532
8.77e+10	-9.753317
8.78e+10	-9.763094
8.79e+10	-9.772864
8.80e+10	-9.782625
8.81e+10	-9.792379
8.82e+10	-9.802124
8.83e+10	-9.811862
8.84e+10	-9.821591
8.85e+10	-9.831313
8.86e+10	-9.841027
8.87e+10	-9.850733
8.88e+10	-9.860431
8.89e+10	-9.870121
8.90e+10	-9.879803
8.91e+10	-9.889477
8.92e+10	-9.899144
8.93e+10	-9.908803
8.94e+10	-9.918454
8.95e+10	-9.928097
8.96e+10	-9.937732
8.97e+10	-9.947359
8.98e+10	-9.956979
8.99e+10	-9.966591
9.00e+10	-9.976195
9.01e+10	-9.985791
9.02e+10	-9.995380
9.03e+10	-10.004961
9.04e+10	-10.014534
9.05e+10	-10.024099
9.06e+10	-10.033657
9.07e+10	-10.043207
9.08e+10	-10.052749
9.09e+10	-10.062284
9.10e+10	-10.071810
9.11e+10	-10.081330
9.12e+10	-10.090841
9.13e+10	-10.100345
9.14e+10	-10.109841
9.15e+10	-10.119330
9.16e+10	-10.128811
9.17e+10	-10.138284
9.18e+10	-10.147750
9.19e+10	-10.157208
9.20e+10	-10.166658
9.21e+10	-10.176101
9.22e+10	-10.185537
9.23e+10	-10.194965
9.24e+10	-10.204385
9.25e+10	-10.213798
9.26e+10	-10.223203
9.27e+10	-10.232601
9.28e+10	-10.241991
9.29e+10	-10.251373
9.30e+10	-10.260749
9.31e+10	-10.270116
9.32e+10	-10.279476
9.33e+10	-10.288829
9.34e+10	-10.298174
9.35e+10	-10.307512
9.36e+10	-10.316843
9.37e+10	-10.326165
9.38e+10	-10.335481
9.39e+10	-10.344789
9.40e+10	-10.354090
9.41e+10	-10.363383
9.42e+10	-10.372669
9.43e+10	-10.381948
9.44e+10	-10.391219
9.45e+10	-10.400482
9.46e+10	-10.409739
9.47e+10	-10.418988
9.48e+10	-10.428230
9.49e+10	-10.437464
9.50e+10	-10.446691
9.51e+10	-10.455911
9.52e+10	-10.465124
9.53e+10	-10.474329
9.54e+10	-10.483527
9.55e+10	-10.492718
9.56e+10	-10.501901
9.57e+10	-10.511077
9.58e+10	-10.520246
9.59e+10	-10.529408
9.60e+10	-10.538562
9.61e+10	-10.547710
9.62e+10	-10.556850
9.63e+10	-10.565983
9.64e+10	-10.575108
9.65e+10	-10.584227
9.66e+10	-10.593338
9.67e+10	-10.602442
9.68e+10	-10.611539
9.69e+10	-10.620629
9.70e+10	-10.629712
9.71e+10	-10.638788
9.72e+10	-10.647856
9.73e+10	-10.656917
9.74e+10	-10.665972
9.75e+10	-10.675019
9.76e+10	-10.684059
9.77e+10	-10.693092
9.78e+10	-10.702118
9.79e+10	-10.711137
9.80e+10	-10.720149
9.81e+10	-10.729154
9.82e+10	-10.738151
9.83e+10	-10.747142
9.84e+10	-10.756126
9.85e+10	-10.765103
9.86e+10	-10.774073
9.87e+10	-10.783035
9.88e+10	-10.791991
9.89e+10	-10.800940
9.90e+10	-10.809882
9.91e+10	-10.818817
9.92e+10	-10.827745
9.93e+10	-10.836666
9.94e+10	-10.845580
9.95e+10	-10.854487
9.96e+10	-10.863388
9.97e+10	-10.872281
9.98e+10	-10.881168
9.99e+10	-10.890047
1.00e+11	-10.898920
1.00e+11	-10.907786
1.00e+11	-10.916645
1.00e+11	-10.925497
1.00e+11	-10.934343
1.00e+11	-10.943181
1.01e+11	-10.952013
1.01e+11	-10.960838
1.01e+11	-10.969656
1.01e+11	-10.978467
1.01e+11	-10.987272
1.01e+11	-10.996069
1.01e+11	-11.004860
1.01e+11	-11.013645
1.01e+11	-11.022422
1.02e+11	-11.031193
1.02e+11	-11.039957
1.02e+11	-11.048714
1.02e+11	-11.057465
1.02e+11	-11.066208
1.02e+11	-11.074945
1.02e+11	-11.083676
1.02e+11	-11.092400
1.02e+11	-11.101117
1.02e+11	-11.109827
1.02e+11	-11.118531
1.03e+11	-11.127228
1.03e+11	-11.135918
1.03e+11	-11.144602
1.03e+11	-11.153279
1.03e+11	-11.161950
1.03e+11	-11.170614
1.03e+11	-11.179271
1.03e+11	-11.187922
1.03e+11	-11.196566
1.04e+11	-11.205204
1.04e+11	-11.213835
1.04e+11	-11.222459
1.04e+11	-11.231077
1.04e+11	-11.239689
1.04e+11	-11.248294
1.04e+11	-11.256892
1.04e+11	-11.265484
1.04e+11	-11.274069
1.04e+11	-11.282648
1.04e+11	-11.291220
1.05e+11	-11.299786
1.05e+11	-11.308345
1.05e+11	-11.316898
1.05e+11	-11.325444
1.05e+11	-11.333984
1.05e+11	-11.342518
1.05e+11	-11.351045
1.05e+11	-11.359566
1.05e+11	-11.368080
1.06e+11	-11.376588
1.06e+11	-11.385089
1.06e+11	-11.393584
1.06e+11	-11.402073
1.06e+11	-11.410555
1.06e+11	-11.419031
1.06e+11	-11.427500
1.06e+11	-11.435963
1.06e+11	-11.444420
1.06e+11	-11.452871
1.06e+11	-11.461315
1.07e+11	-11.469753
1.07e+11	-11.478184
1.07e+11	-11.486609
1.07e+11	-11.495028
